dataset,algorithm,fold,n_train,n_test,train_pos_rate,test_pos_rate,fit_seconds,roc_auc,pr_auc,brier,ece,precision_at_05,recall_at_05,f1_at_05,balanced_accuracy_at_05
philippine,GradientBoosting,7,174,19,0.14942528735632185,0.15789473684210525,0.3475239999825135,0.7916666666666667,0.5909090909090908,0.10420007605380176,0.11055850886414872,1.0,0.3333333333333333,0.5,0.6666666666666666
philippine,GradientBoosting,8,174,19,0.14942528735632185,0.15789473684210525,0.3707692999741994,0.5,0.4526315789473684,0.12717102467281483,0.14641325203512726,0.0,0.0,0.0,0.5
philippine,GradientBoosting,9,174,19,0.14942528735632185,0.15789473684210525,0.406357100000605,0.8958333333333334,0.6984126984126984,0.10460935254589099,0.11189799149755454,1.0,0.3333333333333333,0.5,0.6666666666666666
philippine,GradientBoosting,10,174,19,0.14942528735632185,0.15789473684210525,0.3809188000159338,0.875,0.4777777777777778,0.13389567752617096,0.18260873785983633,0.5,0.6666666666666666,0.5714285714285714,0.7708333333333333
philippine,XGBoost,1,173,20,0.15028901734104047,0.15,0.08487239998066798,0.8431372549019608,0.7575757575757576,0.09870325028896332,0.10957238543778658,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.803921568627451
philippine,XGBoost,2,173,20,0.15028901734104047,0.15,0.047549899958539754,1.0,1.0,0.03763051703572273,0.09740481805056334,0.6,1.0,0.75,0.9411764705882353
philippine,XGBoost,3,173,20,0.15028901734104047,0.15,0.04850600002100691,0.9803921568627451,0.9166666666666665,0.040635377168655396,0.06305463034659624,1.0,0.6666666666666666,0.8,0.8333333333333333
philippine,XGBoost,4,174,19,0.15517241379310345,0.10526315789473684,0.028117200010456145,0.9411764705882353,0.75,0.10010621696710587,0.11724408304220751,0.3333333333333333,0.5,0.4,0.6911764705882353
philippine,XGBoost,5,174,19,0.14942528735632185,0.15789473684210525,0.05116150004323572,0.9375,0.8333333333333333,0.07104328274726868,0.10602198835266263,1.0,0.6666666666666666,0.8,0.8333333333333333
philippine,XGBoost,6,174,19,0.14942528735632185,0.15789473684210525,0.03032430005259812,0.9375,0.8333333333333333,0.052076555788517,0.05857171412361296,1.0,0.6666666666666666,0.8,0.8333333333333333
philippine,XGBoost,7,174,19,0.14942528735632185,0.15789473684210525,0.04652499995427206,0.8333333333333333,0.6555555555555554,0.08601643890142441,0.10522596881185707,0.5,0.3333333333333333,0.4,0.6354166666666666
philippine,XGBoost,8,174,19,0.14942528735632185,0.15789473684210525,0.035284999990835786,0.4583333333333333,0.44027777777777777,0.13671724498271942,0.1723297024635892,0.5,0.3333333333333333,0.4,0.6354166666666666
philippine,XGBoost,9,174,19,0.14942528735632185,0.15789473684210525,0.04409809998469427,0.8958333333333334,0.6666666666666667,0.12338966876268387,0.15922684242066584,0.5,0.3333333333333333,0.4,0.6354166666666666
philippine,XGBoost,10,174,19,0.14942528735632185,0.15789473684210525,0.04044369998155162,0.875,0.6333333333333333,0.17318888008594513,0.19952241194091344,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6041666666666666
philippine,LightGBM,1,173,20,0.15028901734104047,0.15,0.11603760003345087,0.803921568627451,0.6388888888888888,0.08705540955697087,0.08738364044993724,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.803921568627451
philippine,LightGBM,2,173,20,0.15028901734104047,0.15,0.08972089999588206,1.0,1.0,0.032299485964196475,0.09409967091425817,0.75,1.0,0.8571428571428571,0.9705882352941176
philippine,LightGBM,3,173,20,0.15028901734104047,0.15,0.08888989995466545,0.9803921568627451,0.9166666666666665,0.05855874184343759,0.0859501534200433,1.0,0.6666666666666666,0.8,0.8333333333333333
philippine,LightGBM,4,174,19,0.15517241379310345,0.10526315789473684,0.06813239998882636,0.9117647058823529,0.7,0.09999761884147039,0.12394944419741205,0.3333333333333333,0.5,0.4,0.6911764705882353
philippine,LightGBM,5,174,19,0.14942528735632185,0.15789473684210525,0.05640180001500994,0.9583333333333334,0.8666666666666667,0.0678831962972168,0.09184005144693944,1.0,0.3333333333333333,0.5,0.6666666666666666
philippine,LightGBM,6,174,19,0.14942528735632185,0.15789473684210525,0.07188519998453557,0.9375,0.8333333333333333,0.054781435845175405,0.07839705842078899,1.0,0.6666666666666666,0.8,0.8333333333333333
philippine,LightGBM,7,174,19,0.14942528735632185,0.15789473684210525,0.07742670003790408,0.8333333333333333,0.7575757575757576,0.07277201150169417,0.09150634277482322,1.0,0.3333333333333333,0.5,0.6666666666666666
philippine,LightGBM,8,174,19,0.14942528735632185,0.15789473684210525,0.07282840000698343,0.5625,0.2991452991452992,0.14589346973219652,0.16562688061638262,0.0,0.0,0.0,0.46875
philippine,LightGBM,9,174,19,0.14942528735632185,0.15789473684210525,0.08494819997576997,0.9166666666666666,0.7,0.10101012932534453,0.1271269891131599,1.0,0.3333333333333333,0.5,0.6666666666666666
philippine,LightGBM,10,174,19,0.14942528735632185,0.15789473684210525,0.07446739997249097,0.8125,0.6,0.1387603077360817,0.18144062592431295,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6041666666666666
